iso3c,type,year,epc_pp1990_share_gtco2_nobunkers_rcbyearend,pc_pp1990_atp_mer_pf2_share_gtco2_nobunkers_rcbyearend,pc_pp1990_atp_ppp_pf2_share_gtco2_nobunkers_rcbyearend,ecpc_pp1990_share_gtco2_nobunkers_rcbyearend,cpc_pp1990_atp_mer_pf2_share_gtco2_nobunkers_rcbyearend,epc_pp2015_share_gtco2_nobunkers_rcbyearend,pc_pp2015_atp_mer_pf2_share_gtco2_nobunkers_rcbyearend,pc_pp2015_atp_ppp_pf2_share_gtco2_nobunkers_rcbyearend,epc_pp2016_share_gtco2_nobunkers_rcbyearend,pc_pp2016_atp_mer_pf2_share_gtco2_nobunkers_rcbyearend,pc_pp2016_atp_ppp_pf2_share_gtco2_nobunkers_rcbyearend
ESP,terr,2006,3.6144901630118635,-3.0051822657100473,-1.543667528777199,2.8023819087108217,-2.453835175962965,NA,NA,NA,NA,NA,NA
ESP,terr,2007,3.246823677935061,-3.37284875078685,-1.9113340138540016,2.434715423634019,-2.8215016610397674,NA,NA,NA,NA,NA,NA
ESP,terr,2008,2.910691947521804,-3.708980481200107,-2.2474657442672585,2.098583693220762,-3.1576333914530244,NA,NA,NA,NA,NA,NA
ESP,terr,2009,2.6139758781091498,-4.005696550612761,-2.544181813679913,1.801867623808108,-3.4543494608656786,NA,NA,NA,NA,NA,NA
ESP,terr,2010,2.33083285653394,-4.288839572187971,-2.827324835255123,1.518724602232898,-3.7374924824408886,NA,NA,NA,NA,NA,NA
ESP,terr,2011,2.0468269859709682,-4.572845442750943,-3.1113307058180943,1.2347187316699264,-4.02149835300386,NA,NA,NA,NA,NA,NA
ESP,terr,2012,1.7685642033932787,-4.851108225328632,-3.389593488395784,0.9564559490922369,-4.29976113558155,NA,NA,NA,NA,NA,NA
ESP,terr,2013,1.516440523156123,-5.103231905565788,-3.6417171686329395,0.7043322688550813,-4.551884815818705,NA,NA,NA,NA,NA,NA
ESP,terr,2014,1.2620758132433307,-5.35759661547858,-3.896081878545732,0.4499675589422889,-4.806249525731498,NA,NA,NA,NA,NA,NA
ESP,terr,2015,0.9911112920258418,-5.628561136696069,-4.167046399763221,0.17900303772479997,-5.077214046948987,2.7784034028121054,0.8693123170613934,1.2601444329094584,NA,NA,NA
ESP,terr,2016,0.7312929519803673,-5.888379476741544,-4.426864739808695,-0.08081530232067458,-5.337032386994461,2.5185850627666313,0.6094939770159193,1.0003260928639843,2.5730630173694435,0.8062701844685292,1.1547235166147092
ESP,terr,2017,0.4575016402449563,-6.1621707884769545,-4.700656051544106,-0.3546066140560855,-5.610823698729872,2.2447937510312195,0.33570266528050763,0.7265347811285726,2.2992717056340317,0.5324788727331173,0.8809322048792974
ESP,terr,2018,0.18870562696019455,-6.430966801761716,-4.969452064828868,-0.6234026273408473,-5.879619712014634,1.9759977377464595,0.06690665199574752,0.4577387678438125,2.0304756923492717,0.26368285944835723,0.6121361915945372
ESP,terr,2019,-0.062137594589106726,-6.681810023311018,-5.220295286378169,-0.8742458488901486,-6.130462933563935,1.7251545161971582,-0.18393656955355375,0.20689554629451123,1.7796324707999702,0.012839637899055845,0.36129297004523586
ESP,terr,2020,-0.27591850359931414,-6.895590932321225,-5.434076195388377,-1.088026757900356,-6.3442438425741425,1.5113736071869492,-0.3977174785637627,-0.006885362715697729,1.5658515617897615,-0.2009412711111529,0.14751206103502712
ESP,terr,2021,-0.5063555535379116,-7.1260279822598225,-5.664513245326974,-1.3184638078389534,-6.57468089251274,1.2809365572483526,-0.6281545285023593,-0.23732241265429432,1.3354145118511649,-0.4313783210497495,-0.08292498890356947
